Price_amazon,Title_amazon,Capa_amazon
"R$33,95",Gatilhos Mentais: O Guia Completo com Estratégias de Negócios e Comunicações Provadas Para Você Aplicar,"https://images-na.ssl-images-amazon.com/images/I/713GIPU1lpL._AC_UL300_SR300,200_.jpg"
"R$55,90",Storytelling com dados: um guia sobre visualização de dados para profissionais de negócios,"https://images-na.ssl-images-amazon.com/images/I/71sQk9TbNxL._AC_UL300_SR300,200_.jpg"
"R$59,00",Entendendo Algoritmos: Um Guia Ilustrado Para Programadores e Outros Curiosos,"https://images-na.ssl-images-amazon.com/images/I/71Vkg7GfPFL._AC_UL300_SR300,200_.jpg"
"R$84,95",Código limpo: habilidades práticas do Agile software,"https://images-na.ssl-images-amazon.com/images/I/71dH97FwGbL._AC_UL300_SR300,200_.jpg"
"R$55,50",Arquitetura limpa: o guia do artesão para estrutura e design de software,"https://images-na.ssl-images-amazon.com/images/I/815d9tE7jSL._AC_UL300_SR300,200_.jpg"
"R$41,10",Brevidade inteligente: O poder de dizer muito com poucas palavras,"https://images-na.ssl-images-amazon.com/images/I/71LlA2Jr65L._AC_UL300_SR300,200_.jpg"
"R$39,90",Gestão de Alta Performance: Tudo o que um gestor precisa saber para gerenciar equipes e manter o foco em resultados,"https://images-na.ssl-images-amazon.com/images/I/71KnkSHhpgL._AC_UL300_SR300,200_.jpg"
"R$26,91",PACK COM 50 FIGURINHAS DO ÁLBUM DO ENALDINHO: A LENDA DA INTERNET,"https://images-na.ssl-images-amazon.com/images/I/61iCnO3hL4L._AC_UL300_SR300,200_.jpg"
"R$44,00",Isso é marketing: para ser visto é preciso aprender a enxergar,"https://images-na.ssl-images-amazon.com/images/I/71rrbVMJEcL._AC_UL300_SR300,200_.jpg"
"R$29,99",Pensando em sistemas: Como o pensamento sistêmico pode ajudar a resolver os grandes problemas globais,"https://images-na.ssl-images-amazon.com/images/I/51nkenbDrVL._AC_UL300_SR300,200_.jpg"
"R$47,00",O Mais Importante para o Investidor: Lições de um Gênio do Mercado Financeiro,"https://images-na.ssl-images-amazon.com/images/I/71UmVZP2OqL._AC_UL300_SR300,200_.jpg"
"R$45,82",Desmarketize-se: O novo marketing não parece marketing,"https://images-na.ssl-images-amazon.com/images/I/91xd4LaG8VL._AC_UL300_SR300,200_.jpg"
"R$16,99",Código de Defesa do Consumidor 2024 - 39ª Edição Atualizada – Livro Obrigatório nos Estabelecimentos Comerciais,"https://images-na.ssl-images-amazon.com/images/I/71ZjSHsvNfL._AC_UL300_SR300,200_.jpg"
"R$32,93",KIT ÁLBUM DO ENALDINHO + 50 FIGURINHAS: A LENDA DA INTERNET,"https://images-na.ssl-images-amazon.com/images/I/61RRz22lDnL._AC_UL300_SR300,200_.jpg"
"R$47,90",A máquina do caos: Como as redes sociais reprogramaram nossa mente e nosso mundo,"https://images-na.ssl-images-amazon.com/images/I/81ECGr8hQkL._AC_UL300_SR300,200_.jpg"
"R$39,50",Trinta segundos sem pensar no medo: Memórias de um leitor,"https://images-na.ssl-images-amazon.com/images/I/61kcgZlWbOL._AC_UL300_SR300,200_.jpg"
"R$62,90",Data Science do zero: noções fundamentais com Python,"https://images-na.ssl-images-amazon.com/images/I/61A4bRmigsS._AC_UL300_SR300,200_.jpg"
"R$40,00",O herói e o fora da lei: Como construir marcas extraordinárias usando o poder dos arquétipos,"https://images-na.ssl-images-amazon.com/images/I/81iY2YtIAOL._AC_UL300_SR300,200_.jpg"
"R$0,39",Estratégias Gratuitas de Marketing Digital: Alavanque seus ganhos na internet,"https://images-na.ssl-images-amazon.com/images/I/71t8orHh9nL._AC_UL300_SR300,200_.jpg"
